epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.32212,1.19363,3.86467,1.43704,0.55266,0.32355,0.2815,0.17412,1.32154,2.93156,1.69137,0.000329412,0.000329412,0.000329412
2,17.0398,1.20922,2.01325,1.45913,0.31513,0.34907,0.29616,0.19137,1.4403,2.96123,1.78129,0.000649623,0.000649623,0.000649623
3,24.4321,1.24273,1.87095,1.47365,0.2703,0.40771,0.26887,0.13658,1.56385,3.0108,1.80097,0.000956634,0.000956634,0.000956634
4,32.061,1.25025,1.79602,1.48051,0.40876,0.41963,0.34472,0.21411,1.57881,2.48924,1.90159,0.0009406,0.0009406,0.0009406
5,39.8756,1.26401,1.73505,1.48089,0.68515,0.29322,0.36124,0.23234,1.38159,2.19175,1.67813,0.0009208,0.0009208,0.0009208
6,47.7622,1.19052,1.62561,1.43823,0.51497,0.36826,0.37417,0.23095,1.43621,2.54176,1.68429,0.000901,0.000901,0.000901
7,55.593,1.14469,1.53129,1.40077,0.44548,0.35727,0.35834,0.24209,1.43128,2.29361,1.66574,0.0008812,0.0008812,0.0008812
8,63.4762,1.12839,1.50156,1.39673,0.50089,0.39588,0.42719,0.24633,1.49999,1.90234,1.76252,0.0008614,0.0008614,0.0008614
9,71.9986,1.09696,1.42439,1.37156,0.45788,0.51285,0.4641,0.27233,1.38649,1.93229,1.63729,0.0008416,0.0008416,0.0008416
10,80.4099,1.07557,1.37647,1.3507,0.43235,0.40763,0.3803,0.25272,1.40604,1.95624,1.68223,0.0008218,0.0008218,0.0008218
11,88.1655,1.03666,1.31219,1.32806,0.55036,0.36954,0.39823,0.26207,1.42682,1.89137,1.69247,0.000802,0.000802,0.000802
12,96.2075,1.03213,1.2376,1.31608,0.43139,0.48444,0.4409,0.26675,1.3902,1.84825,1.66573,0.0007822,0.0007822,0.0007822
13,103.882,0.9788,1.18327,1.27887,0.49299,0.3662,0.41602,0.26421,1.43555,1.90238,1.68167,0.0007624,0.0007624,0.0007624
