epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67103,1.31042,3.25834,1.46519,0.36689,0.32534,0.33685,0.17495,1.30275,2.49643,1.59953,0.000327044,0.000327044,0.000327044
2,12.6907,1.28142,1.70012,1.42687,0.46243,0.46949,0.36134,0.1764,1.41624,2.205,1.77465,0.000647302,0.000647302,0.000647302
3,17.5192,1.34283,1.61314,1.47252,0.43921,0.44652,0.41291,0.22531,1.3506,2.20266,1.67537,0.00095436,0.00095436,0.00095436
4,22.2338,1.30198,1.51687,1.46391,0.37364,0.51839,0.39508,0.21404,1.40057,2.23115,1.67637,0.0009406,0.0009406,0.0009406
5,26.9423,1.29155,1.4561,1.43938,0.52107,0.46447,0.41835,0.19472,1.48788,1.75876,1.72828,0.0009208,0.0009208,0.0009208
6,31.6013,1.26102,1.37034,1.42,0.58731,0.49623,0.44109,0.24023,1.40828,1.69416,1.67359,0.000901,0.000901,0.000901
7,36.3565,1.241,1.35772,1.41693,0.44878,0.58388,0.51483,0.29896,1.36096,1.52403,1.61958,0.0008812,0.0008812,0.0008812
8,41.0686,1.21126,1.29726,1.39247,0.57793,0.50357,0.52925,0.29854,1.43067,1.46832,1.6874,0.0008614,0.0008614,0.0008614
9,45.8253,1.18272,1.25002,1.36901,0.57024,0.45187,0.49297,0.27525,1.36281,1.4882,1.61154,0.0008416,0.0008416,0.0008416
10,50.8585,1.16458,1.23799,1.36071,0.57332,0.55963,0.5463,0.28961,1.36295,1.41105,1.64575,0.0008218,0.0008218,0.0008218
11,56.2781,1.14569,1.17426,1.33396,0.54396,0.53064,0.54188,0.31287,1.34842,1.43084,1.59897,0.000802,0.000802,0.000802
12,62.4089,1.11714,1.11878,1.3257,0.49979,0.63429,0.56033,0.30244,1.33398,1.4521,1.60261,0.0007822,0.0007822,0.0007822
13,68.1344,1.11215,1.11288,1.3218,0.55444,0.50111,0.51965,0.3085,1.30724,1.39005,1.53996,0.0007624,0.0007624,0.0007624
14,73.6089,1.07886,1.06068,1.30125,0.64452,0.51488,0.56241,0.33181,1.3251,1.3434,1.56537,0.0007426,0.0007426,0.0007426
15,79.1411,1.05532,1.01112,1.27521,0.49925,0.51222,0.53097,0.29501,1.34509,1.41538,1.59058,0.0007228,0.0007228,0.0007228
16,84.9472,1.04786,1.00503,1.27607,0.54303,0.61838,0.55845,0.3227,1.32078,1.40039,1.56687,0.000703,0.000703,0.000703
