epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0609,1.10943,1.7121,1.39383,0.47138,0.1732,0.17697,0.13683,1.88536,3.28183,2.09716,0.0671941,0.000331373,0.000331373
2,29.8953,1.15544,1.73245,1.42478,0.28065,0.31158,0.27628,0.17604,1.6716,2.62208,1.96203,0.0341875,0.000658125,0.000658125
3,43.549,1.21189,1.92338,1.48201,0.5319,0.30953,0.28986,0.17764,1.6611,3.11185,1.90714,0.00117436,0.000978278,0.000978278
4,57.788,1.25878,1.97411,1.51161,0.76769,0.19256,0.2198,0.15952,1.62526,3.20435,1.84844,0.0009703,0.0009703,0.0009703
5,71.2452,1.23573,1.96255,1.50947,0.72579,0.25901,0.29791,0.19008,1.6097,2.63754,1.9451,0.0009604,0.0009604,0.0009604
6,84.6095,1.24117,1.89145,1.51378,0.25618,0.32677,0.27355,0.17367,1.6513,2.54001,1.87903,0.0009505,0.0009505,0.0009505
7,97.8922,1.21727,1.85147,1.48657,0.41267,0.27012,0.2424,0.17496,1.55415,2.50681,1.77614,0.0009406,0.0009406,0.0009406
8,111.226,1.17874,1.85749,1.45059,0.3225,0.33101,0.28138,0.19319,1.52524,2.4357,1.73175,0.0009307,0.0009307,0.0009307
9,124.584,1.15349,1.76206,1.45178,0.33523,0.37959,0.32665,0.21212,1.55703,2.58319,1.83738,0.0009208,0.0009208,0.0009208
10,137.994,1.15025,1.74489,1.43895,0.42499,0.36537,0.32832,0.22156,1.40609,2.72469,1.65333,0.0009109,0.0009109,0.0009109
11,151.452,1.14597,1.71286,1.41542,0.51415,0.30875,0.29575,0.20507,1.48742,2.28177,1.72971,0.000901,0.000901,0.000901
12,164.854,1.14593,1.67621,1.42425,0.7138,0.25872,0.30651,0.20232,1.44521,2.36374,1.71478,0.0008911,0.0008911,0.0008911
13,178.315,1.09792,1.62406,1.38714,0.39209,0.28542,0.28766,0.22468,1.39662,2.34064,1.64606,0.0008812,0.0008812,0.0008812
14,191.668,1.06182,1.54649,1.36628,0.36048,0.29919,0.29704,0.2166,1.41135,2.4393,1.66007,0.0008713,0.0008713,0.0008713
15,205.037,1.06053,1.53673,1.38701,0.58612,0.38496,0.35801,0.23113,1.4241,2.31795,1.68031,0.0008614,0.0008614,0.0008614
16,218.405,1.01118,1.4794,1.33886,0.42381,0.4004,0.37323,0.23521,1.49329,2.35259,1.757,0.0008515,0.0008515,0.0008515
17,232.03,1.05382,1.4512,1.37229,0.64829,0.31715,0.34233,0.22123,1.44382,2.4419,1.68909,0.0008416,0.0008416,0.0008416
18,245.8,1.04726,1.48615,1.35036,0.65288,0.35102,0.36977,0.24544,1.41772,2.40192,1.69847,0.0008317,0.0008317,0.0008317
19,259.467,0.99597,1.42188,1.33536,0.39553,0.40208,0.3558,0.24717,1.40026,2.3114,1.69643,0.0008218,0.0008218,0.0008218
20,273.069,0.99743,1.40109,1.32553,0.39294,0.32204,0.33259,0.23627,1.3952,2.54684,1.69045,0.0008119,0.0008119,0.0008119
21,286.97,0.96456,1.3422,1.31485,0.44688,0.36127,0.35538,0.2402,1.49063,2.31986,1.72591,0.000802,0.000802,0.000802
22,300.543,0.95989,1.32125,1.30036,0.49456,0.32745,0.36717,0.23397,1.40127,2.14227,1.65416,0.0007921,0.0007921,0.0007921
23,314.145,0.95929,1.29836,1.29389,0.44732,0.44331,0.39788,0.26209,1.41874,2.0937,1.66828,0.0007822,0.0007822,0.0007822
24,327.695,0.9512,1.2735,1.29132,0.39851,0.39626,0.34963,0.23176,1.39808,2.29484,1.67043,0.0007723,0.0007723,0.0007723
25,341.416,0.92607,1.22292,1.2619,0.37398,0.40017,0.36539,0.26112,1.36403,2.30641,1.64325,0.0007624,0.0007624,0.0007624
26,355.075,0.91473,1.23544,1.26403,0.49017,0.36118,0.36783,0.24468,1.37386,2.21029,1.61245,0.0007525,0.0007525,0.0007525
27,368.704,0.87828,1.1829,1.23881,0.43896,0.43592,0.35915,0.23902,1.37754,2.24949,1.61121,0.0007426,0.0007426,0.0007426
28,382.328,0.89361,1.1515,1.23922,0.48189,0.37868,0.38102,0.25472,1.3575,2.38402,1.617,0.0007327,0.0007327,0.0007327
