epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76835,1.20938,1.404,1.39814,0.54608,0.30939,0.32338,0.18282,1.46443,1.74866,1.68045,0.0673113,0.000330189,0.000330189
2,17.9553,1.21747,1.41072,1.40896,0.50532,0.43845,0.43315,0.20517,1.66295,1.82795,1.97003,0.0343048,0.000656953,0.000656953
3,25.7963,1.25126,1.47414,1.41855,0.28114,0.39584,0.32297,0.17345,1.59525,1.84556,1.83631,0.00129158,0.000977118,0.000977118
4,33.5459,1.29787,1.50863,1.45523,0.61354,0.3291,0.34935,0.18538,1.5893,1.85336,1.79015,0.0009703,0.0009703,0.0009703
5,41.33,1.33532,1.60295,1.51354,0.49701,0.33951,0.35718,0.18983,1.58685,1.80065,1.82236,0.0009604,0.0009604,0.0009604
6,50.2529,1.31463,1.54593,1.49845,0.50223,0.4566,0.35894,0.19883,1.53984,1.94261,1.76025,0.0009505,0.0009505,0.0009505
7,58.0441,1.29139,1.51843,1.46776,0.41581,0.47685,0.43118,0.23515,1.5353,1.67661,1.75715,0.0009406,0.0009406,0.0009406
8,65.6462,1.26702,1.47734,1.44289,0.48754,0.51114,0.46004,0.23029,1.54474,1.63045,1.73402,0.0009307,0.0009307,0.0009307
9,73.3058,1.28776,1.54066,1.46671,0.54919,0.46726,0.43764,0.23257,1.51042,1.5585,1.73109,0.0009208,0.0009208,0.0009208
10,81.0128,1.24218,1.45057,1.42482,0.59047,0.412,0.43487,0.25043,1.41786,1.53466,1.65624,0.0009109,0.0009109,0.0009109
11,88.7538,1.22622,1.39349,1.4324,0.64265,0.42999,0.45922,0.26064,1.37861,1.50901,1.61799,0.000901,0.000901,0.000901
12,96.6178,1.2138,1.36912,1.40821,0.50595,0.5158,0.4795,0.24881,1.4456,1.56515,1.67932,0.0008911,0.0008911,0.0008911
13,104.467,1.21893,1.36417,1.41397,0.60495,0.50865,0.51769,0.28894,1.4679,1.56371,1.68072,0.0008812,0.0008812,0.0008812
14,112.205,1.17668,1.28441,1.38263,0.59823,0.43871,0.46118,0.26342,1.42366,1.60008,1.63776,0.0008713,0.0008713,0.0008713
15,119.987,1.17666,1.30722,1.37876,0.40507,0.56237,0.45527,0.25343,1.3912,1.50801,1.62477,0.0008614,0.0008614,0.0008614
16,127.46,1.17238,1.29519,1.38311,0.55103,0.4528,0.48736,0.26928,1.37203,1.41219,1.56657,0.0008515,0.0008515,0.0008515
17,134.896,1.12438,1.20107,1.33846,0.44497,0.53059,0.47259,0.27603,1.3714,1.52227,1.59043,0.0008416,0.0008416,0.0008416
18,142.531,1.13479,1.18765,1.34753,0.45607,0.61443,0.55599,0.32436,1.35722,1.49978,1.58458,0.0008317,0.0008317,0.0008317
19,150.246,1.12713,1.17497,1.35243,0.44789,0.56366,0.50662,0.27287,1.42137,1.43427,1.63596,0.0008218,0.0008218,0.0008218
20,157.669,1.0846,1.13852,1.31304,0.43209,0.55511,0.51733,0.30223,1.36674,1.3658,1.60754,0.0008119,0.0008119,0.0008119
21,165.157,1.0939,1.14611,1.31146,0.67176,0.54606,0.53808,0.29951,1.39312,1.47568,1.62591,0.000802,0.000802,0.000802
22,173.891,1.08855,1.11844,1.31914,0.63606,0.53543,0.57841,0.31352,1.35515,1.38794,1.59224,0.0007921,0.0007921,0.0007921
23,182.639,1.07083,1.12696,1.31988,0.62642,0.48313,0.53483,0.28778,1.34921,1.41608,1.5855,0.0007822,0.0007822,0.0007822
24,191.381,1.05995,1.11077,1.30409,0.47702,0.52931,0.51465,0.27926,1.38912,1.43154,1.60922,0.0007723,0.0007723,0.0007723
25,200.038,1.05001,1.05031,1.29062,0.68846,0.5218,0.58671,0.32402,1.37404,1.43074,1.59692,0.0007624,0.0007624,0.0007624
